timestamp,linear_speed,angular_speed,distance_front,distance_left,distance_right
0.400,0.150,-0.300,0.870,1.455,2.320
0.500,0.150,-0.300,0.870,1.455,2.320
0.607,0.150,-0.300,0.875,1.454,2.332
0.701,0.150,-0.300,0.875,1.454,2.332
0.800,0.150,-0.300,0.832,1.437,2.340
0.901,0.150,-0.300,0.832,1.437,2.340
1.000,0.150,-0.300,0.819,1.465,2.350
1.112,0.150,-0.300,0.819,1.465,2.350
1.200,0.150,-0.300,0.784,2.356,2.358
1.302,0.150,-0.300,0.784,2.356,2.358
1.405,0.150,-0.300,0.759,2.369,2.381
1.501,0.150,-0.300,0.759,2.369,2.381
1.602,0.150,-0.300,0.739,2.403,2.390
1.700,0.150,-0.300,0.739,2.403,2.390
1.800,0.150,-0.300,0.727,2.433,2.430
1.900,0.150,-0.300,0.727,2.433,2.430
2.000,0.150,-0.300,0.712,2.477,2.456
2.100,0.150,-0.300,0.712,2.477,2.456
2.201,0.150,-0.300,0.705,2.550,1.752
2.302,0.150,-0.300,0.705,2.550,1.752
2.400,0.150,-0.300,1.783,2.646,1.668
2.501,0.150,-0.300,1.783,2.646,1.668
2.600,0.150,-0.300,1.787,0.952,1.678
2.700,0.150,-0.300,1.787,0.952,1.678
2.800,0.150,-0.300,1.828,0.851,1.673
2.902,0.150,-0.300,1.828,0.851,1.673
3.005,0.150,-0.300,1.882,0.751,1.693
3.101,0.150,-0.300,1.882,0.751,1.693
3.201,0.150,-0.300,1.916,0.678,1.663
3.300,0.150,-0.300,1.916,0.678,1.663
3.401,0.150,-0.300,1.994,0.600,1.740
3.501,0.150,-0.300,1.994,0.600,1.740
3.601,0.150,-0.300,2.691,0.565,1.806
3.702,0.150,-0.300,2.691,0.565,1.806
3.800,0.150,-0.300,2.575,0.504,1.878
3.901,0.150,-0.300,2.575,0.504,1.878
4.001,0.150,-0.300,2.466,0.468,2.005
4.101,0.150,-0.300,2.466,0.468,2.005
4.200,0.150,-0.300,2.347,0.433,2.135
4.301,0.150,-0.300,2.347,0.433,2.135
4.403,0.150,-0.300,2.280,0.406,2.217
4.500,0.150,-0.300,2.280,0.406,2.217
4.600,0.150,-0.300,2.195,0.371,2.206
4.700,0.150,-0.300,2.195,0.371,2.206
4.800,0.150,-0.300,2.135,0.337,2.191
4.901,0.150,-0.300,2.135,0.337,2.191
5.000,0.150,-0.300,2.076,0.339,2.177
5.100,0.150,-0.300,2.076,0.339,2.177
5.200,0.150,-0.300,2.026,0.321,2.137
5.301,0.150,-0.300,2.026,0.321,2.137
5.401,0.150,-0.300,1.980,0.386,2.148
5.500,0.150,-0.300,1.980,0.386,2.148
5.600,0.150,-0.300,0.955,2.524,1.215
5.700,0.150,-0.300,0.955,2.524,1.215
5.800,0.150,-0.300,0.918,1.294,1.235
5.900,0.150,-0.300,0.918,1.294,1.235
6.001,0.150,-0.300,0.886,1.302,1.232
6.100,0.150,-0.300,0.886,1.302,1.232
6.200,0.150,-0.300,0.863,1.288,1.254
6.300,0.150,-0.300,0.863,1.288,1.254
6.400,0.150,-0.300,0.833,1.289,1.257
6.500,0.150,-0.300,0.833,1.289,1.257
6.600,0.150,-0.300,0.797,1.303,1.245
6.702,0.150,-0.300,0.797,1.303,1.245
6.803,0.150,-0.300,1.785,1.319,1.265
6.900,0.150,-0.300,1.785,1.319,1.265
7.001,0.150,-0.300,1.788,1.336,1.277
7.100,0.150,-0.300,1.788,1.336,1.277
7.200,0.150,-0.300,1.774,1.367,1.277
7.301,0.150,-0.300,1.774,1.367,1.277
7.400,0.150,-0.300,1.780,1.400,1.297
7.500,0.150,-0.300,1.780,1.400,1.297
7.601,0.150,-0.300,1.805,1.448,1.349
7.700,0.150,-0.300,1.805,1.448,1.349
7.801,0.150,-0.300,1.834,1.509,1.368
7.900,0.150,-0.300,1.834,1.509,1.368
8.002,0.150,-0.300,1.855,2.441,1.374
8.100,0.150,-0.300,1.855,2.441,1.374
8.203,0.150,-0.300,1.889,2.238,1.420
8.300,0.150,-0.300,1.889,2.238,1.420
8.400,0.150,-0.300,1.959,2.070,1.486
8.500,0.150,-0.300,1.959,2.070,1.486
8.600,0.150,-0.300,2.016,1.932,1.529
8.705,0.150,-0.300,2.016,1.932,1.529
8.801,0.150,-0.300,1.936,1.809,1.589
8.916,0.150,-0.300,1.936,1.809,1.589
9.002,0.150,-0.300,1.898,1.720,1.641
9.100,0.150,-0.300,1.898,1.720,1.641
9.205,0.150,-0.300,1.235,1.646,1.739
9.300,0.150,-0.300,1.235,1.646,1.739
9.400,0.150,-0.300,1.179,0.471,2.651
9.505,0.150,-0.300,1.179,0.471,2.651
9.601,0.150,-0.300,1.131,0.458,2.582
9.700,0.150,-0.300,1.131,0.458,2.582
9.801,0.150,-0.300,1.098,0.425,2.553
9.900,0.150,-0.300,1.098,0.425,2.553
10.002,0.150,-0.300,1.054,0.433,2.509
10.100,0.150,-0.300,1.054,0.433,2.509
10.200,0.150,-0.300,1.119,0.524,2.501
10.300,0.150,-0.300,1.119,0.524,2.501
10.403,0.150,-0.300,1.308,0.737,2.492
10.501,0.150,-0.300,1.308,0.737,2.492
10.600,0.150,-0.300,1.564,0.977,2.478
10.703,0.150,-0.300,1.564,0.977,2.478
10.800,0.150,-0.300,1.776,1.315,2.483
10.905,0.150,-0.300,1.776,1.315,2.483
11.000,0.150,-0.300,1.741,1.317,2.476
11.100,0.150,-0.300,1.741,1.317,2.476
11.201,0.150,-0.300,1.705,1.317,2.489
11.300,0.150,-0.300,1.705,1.317,2.489
11.400,0.150,-0.300,1.675,1.304,2.500
11.500,0.150,-0.300,1.675,1.304,2.500
11.600,0.150,-0.300,1.654,1.322,3.371
11.700,0.150,-0.300,1.654,1.322,3.371
11.800,0.150,-0.300,1.632,1.333,3.398
11.901,0.150,-0.300,1.632,1.333,3.398
12.000,0.150,-0.300,1.611,1.345,3.419
12.100,0.150,-0.300,1.611,1.345,3.419
12.200,0.150,-0.300,1.587,1.365,3.443
12.300,0.150,-0.300,1.587,1.365,3.443
12.400,0.150,-0.300,1.584,1.400,3.500
12.501,0.150,-0.300,1.584,1.400,3.500
12.602,0.150,-0.300,1.599,1.436,1.926
12.700,0.150,-0.300,1.599,1.436,1.926
12.801,0.150,-0.300,1.602,1.471,1.812
12.900,0.150,-0.300,1.602,1.471,1.812
13.001,0.150,-0.300,1.624,1.538,1.720
13.100,0.150,-0.300,1.624,1.538,1.720
13.209,0.150,-0.300,1.647,1.612,1.620
13.303,0.150,-0.300,1.647,1.612,1.620
13.400,0.150,-0.300,0.781,0.691,1.564
13.502,0.150,-0.300,0.781,0.691,1.564
13.600,0.150,-0.300,0.729,0.624,1.531
13.701,0.150,-0.300,0.729,0.624,1.531
13.804,0.150,-0.300,0.667,0.635,1.474
13.900,0.150,-0.300,0.667,0.635,1.474
14.003,0.150,-0.300,0.632,0.666,1.441
14.100,0.150,-0.300,0.632,0.666,1.441
14.200,0.150,-0.300,0.592,0.756,1.394
14.300,0.150,-0.300,0.592,0.756,1.394
14.400,0.150,-0.300,0.561,0.849,1.393
14.505,0.150,-0.300,0.561,0.849,1.393
14.601,0.150,-0.300,0.563,0.964,1.364
14.700,0.150,-0.300,0.563,0.964,1.364
14.801,0.150,-0.300,0.594,1.088,1.348
14.900,0.150,-0.300,0.594,1.088,1.348
15.000,0.150,-0.300,0.605,1.261,1.354
15.101,0.000,0.500,0.605,1.261,1.354
15.200,0.000,0.500,0.634,1.265,1.354
15.301,0.000,0.500,0.634,1.265,1.354
15.403,0.000,0.500,0.541,1.182,1.357
15.500,0.000,0.500,0.541,1.182,1.357
15.600,0.000,0.500,0.486,1.043,1.414
15.701,0.000,0.500,0.486,1.043,1.414
15.800,0.000,0.500,0.447,0.919,1.508
15.900,0.000,0.500,0.447,0.919,1.508
16.000,0.000,0.500,0.455,0.863,1.606
16.100,0.000,0.500,0.455,0.863,1.606
16.200,0.000,0.500,0.469,0.793,1.752
16.300,0.000,0.500,0.469,0.793,1.752
16.400,0.000,0.500,0.529,0.738,3.500
16.500,0.000,0.500,0.529,0.738,3.500
16.601,0.000,0.500,1.358,0.744,3.364
16.700,0.000,0.500,1.358,0.744,3.364
16.801,0.150,-0.300,1.306,0.733,3.256
16.900,0.150,-0.300,1.306,0.733,3.256
17.001,0.150,-0.300,1.283,0.812,3.172
17.100,0.150,-0.300,1.283,0.812,3.172
17.200,0.150,-0.300,1.269,0.742,3.209
17.300,0.150,-0.300,1.269,0.742,3.209
17.400,0.150,-0.300,1.263,0.741,3.261
17.500,0.000,0.500,1.263,0.741,3.261
17.601,0.000,0.500,1.272,0.749,3.289
17.708,0.000,0.500,1.272,0.749,3.289
17.803,0.000,0.500,1.220,0.741,3.178
17.904,0.000,0.500,1.220,0.741,3.178
18.001,0.000,0.500,1.194,0.761,2.203
18.101,0.150,-0.300,1.194,0.761,2.203
18.202,0.150,-0.300,1.156,1.656,2.155
18.300,0.150,-0.300,1.156,1.656,2.155
18.402,0.150,-0.300,1.148,1.670,2.173
18.500,0.150,-0.300,1.148,1.670,2.173
18.601,0.150,-0.300,1.140,0.739,2.165
18.700,0.150,-0.300,1.140,0.739,2.165
18.801,0.000,0.500,1.126,0.741,2.185
18.900,0.000,0.500,1.126,0.741,2.185
19.000,0.000,0.500,1.116,0.743,2.216
19.105,0.000,0.500,1.116,0.743,2.216
19.204,0.000,0.500,1.083,0.733,2.155
19.302,0.000,0.500,1.083,0.733,2.155
19.401,0.000,0.500,1.070,0.743,2.116
19.508,0.000,0.500,1.070,0.743,2.116
19.602,0.000,0.500,1.066,1.684,2.099
19.700,0.000,0.500,1.066,1.684,2.099
19.801,0.000,0.500,1.069,1.701,1.140
19.903,0.000,0.500,1.069,1.701,1.140
20.000,0.000,0.500,1.078,1.722,0.673
20.103,0.000,0.500,1.078,1.722,0.673
20.200,0.000,0.500,1.095,1.749,0.481
20.300,0.150,0.000,1.095,1.749,0.481
20.409,0.150,0.000,1.106,1.781,0.350
20.503,0.150,0.000,1.106,1.781,0.350
20.603,0.150,0.000,1.084,1.762,0.281
20.700,0.150,0.000,1.084,1.762,0.281
20.802,0.150,0.000,1.055,1.777,0.248
20.900,0.150,0.000,1.055,1.777,0.248
21.000,0.150,0.000,1.036,1.761,0.240
21.100,0.150,0.000,1.036,1.761,0.240
21.200,0.150,0.000,0.985,1.724,0.254
21.302,0.150,0.000,0.985,1.724,0.254
21.400,0.150,0.000,0.963,1.744,0.259
21.500,0.150,0.000,0.963,1.744,0.259
21.601,0.150,0.000,0.937,1.717,0.267
21.700,0.150,0.000,0.937,1.717,0.267
21.803,0.150,0.000,0.904,1.698,0.284
21.908,0.150,0.000,0.904,1.698,0.284
22.000,0.150,0.000,0.863,1.699,2.021
22.100,0.150,0.000,0.863,1.699,2.021
22.200,0.150,0.000,0.848,1.688,1.951
22.300,0.150,0.000,0.848,1.688,1.951
22.400,0.150,0.000,0.804,1.667,1.875
22.500,0.150,-0.300,0.804,1.667,1.875
22.603,0.150,-0.300,0.773,0.661,1.984
22.704,0.150,-0.300,0.773,0.661,1.984
22.801,0.150,-0.300,0.747,0.641,2.252
22.901,0.150,-0.300,0.747,0.641,2.252
23.000,0.150,-0.300,0.701,0.625,2.621
23.100,0.150,-0.300,0.701,0.625,2.621
23.201,0.150,-0.300,0.664,0.614,3.124
23.300,0.150,-0.300,0.664,0.614,3.124
23.400,0.150,-0.300,0.635,0.602,3.120
23.501,0.150,-0.300,0.635,0.602,3.120
23.601,0.150,-0.300,0.597,0.585,2.251
23.701,0.150,-0.300,0.597,0.585,2.251
23.800,0.150,-0.300,0.562,0.586,1.375
23.900,0.150,-0.300,0.562,0.586,1.375
24.000,0.150,-0.300,0.532,0.580,1.120
24.100,0.150,-0.300,0.532,0.580,1.120
24.201,0.150,-0.300,0.510,0.605,0.969
24.302,0.150,-0.300,0.510,0.605,0.969
24.400,0.000,0.500,0.486,0.598,0.902
24.501,0.000,0.500,0.486,0.598,0.902
24.601,0.000,0.500,0.470,0.606,0.910
