timestamp,linear_speed,angular_speed,distance_front,distance_left,distance_right
0.500,0.150,0.000,0.874,1.462,2.337
0.601,0.150,0.000,0.874,1.462,2.337
0.700,0.150,0.000,0.861,1.448,2.340
0.800,0.150,0.000,0.861,1.448,2.340
0.901,0.150,0.000,0.832,1.461,2.347
1.000,0.150,0.000,0.832,1.461,2.347
1.100,0.150,0.000,0.803,1.455,2.333
1.200,0.150,0.000,0.803,1.455,2.333
1.300,0.150,0.000,0.773,1.455,2.342
1.400,0.150,0.000,0.773,1.455,2.342
1.500,0.150,0.000,0.738,1.457,2.343
1.601,0.150,0.000,0.738,1.457,2.343
1.700,0.150,0.000,0.713,1.460,2.336
1.800,0.150,0.000,0.713,1.460,2.336
1.900,0.150,0.000,0.674,1.461,2.330
2.000,0.150,0.000,0.674,1.461,2.330
2.100,0.150,0.000,0.636,1.455,2.346
2.200,0.150,0.000,0.636,1.455,2.346
2.301,0.150,0.000,0.619,1.468,2.323
2.400,0.150,0.000,0.619,1.468,2.323
2.500,0.150,0.000,0.589,1.460,2.195
2.600,0.150,0.000,0.589,1.460,2.195
2.700,0.150,0.000,0.552,1.467,1.827
2.800,0.150,0.000,0.552,1.467,1.827
2.900,0.150,0.000,0.540,1.601,1.467
3.000,0.150,0.000,0.540,1.601,1.467
3.100,0.150,0.000,0.503,2.344,1.366
3.200,0.150,0.000,0.503,2.344,1.366
3.300,0.000,0.500,0.474,2.336,1.368
3.400,0.000,0.500,0.474,2.336,1.368
3.501,0.000,0.500,0.452,2.343,1.364
3.601,0.000,0.500,0.452,2.343,1.364
3.700,0.000,0.500,0.452,1.503,1.349
3.800,0.000,0.500,0.452,1.503,1.349
3.901,0.000,0.500,0.454,1.502,1.354
4.000,0.000,0.500,0.454,1.502,1.354
4.100,0.000,0.500,0.459,1.521,2.386
4.201,0.000,0.500,0.459,1.521,2.386
4.300,0.000,0.500,0.488,1.565,2.429
4.400,0.000,0.500,0.488,1.565,2.429
4.501,0.000,0.500,0.492,1.639,2.527
4.600,0.000,0.500,0.492,1.639,2.527
4.700,0.000,0.500,0.519,1.721,2.626
4.801,0.000,0.500,0.519,1.721,2.626
4.900,0.000,0.500,0.552,1.838,2.796
5.000,0.150,0.000,0.552,1.838,2.796
5.100,0.150,0.000,0.567,1.962,1.901
5.200,0.150,0.000,0.567,1.962,1.901
5.300,0.150,0.000,0.559,2.623,1.818
5.400,0.000,0.500,0.559,2.623,1.818
5.500,0.000,0.500,0.555,2.623,1.796
5.600,0.150,-0.300,0.555,2.623,1.796
5.700,0.150,-0.300,0.572,2.546,1.718
5.801,0.000,0.500,0.572,2.546,1.718
5.900,0.000,0.500,0.548,2.558,0.487
6.000,0.000,0.500,0.548,2.558,0.487
6.100,0.000,0.500,0.597,2.419,0.440
6.200,0.150,-0.300,0.597,2.419,0.440
6.301,0.150,-0.300,0.647,1.314,0.419
6.400,0.150,0.000,0.647,1.314,0.419
6.500,0.150,0.000,0.618,2.375,0.404
6.600,0.150,0.000,0.618,2.375,0.404
6.700,0.150,0.000,0.582,2.402,0.403
6.800,0.000,0.500,0.582,2.402,0.403
6.900,0.000,0.500,0.553,2.420,0.374
7.000,0.000,0.500,0.553,2.420,0.374
7.100,0.000,0.500,0.557,2.422,0.364
7.200,0.000,0.500,0.557,2.422,0.364
7.300,0.000,0.500,0.582,2.369,0.354
7.400,0.000,0.500,0.582,2.369,0.354
7.500,0.000,0.500,0.647,1.301,0.336
7.600,0.150,0.000,0.647,1.301,0.336
7.700,0.150,0.000,2.358,1.276,0.307
7.800,0.000,0.500,2.358,1.276,0.307
7.900,0.000,0.500,2.308,1.272,0.307
8.001,0.150,0.000,2.308,1.272,0.307
8.100,0.150,0.000,2.271,1.278,0.295
8.200,0.000,0.500,2.271,1.278,0.295
8.300,0.000,0.500,2.237,1.261,0.290
8.401,0.000,0.500,2.237,1.261,0.290
8.500,0.000,0.500,2.212,1.270,0.269
8.601,0.000,0.500,2.212,1.270,0.269
8.700,0.000,0.500,2.207,1.258,0.265
8.800,0.150,0.000,2.207,1.258,0.265
8.900,0.150,0.000,2.192,1.264,0.262
9.000,0.000,0.500,2.192,1.264,0.262
9.100,0.000,0.500,2.167,1.270,0.258
9.200,0.150,0.000,2.167,1.270,0.258
9.302,0.150,0.000,2.140,1.270,0.247
9.400,0.150,0.000,2.140,1.270,0.247
9.500,0.150,0.000,2.119,1.282,0.254
9.600,0.150,0.000,2.119,1.282,0.254
9.700,0.150,0.000,2.101,1.270,0.253
9.801,0.150,0.000,2.101,1.270,0.253
9.900,0.150,0.000,2.074,1.272,0.252
10.001,0.150,0.000,2.074,1.272,0.252
10.100,0.150,0.000,2.031,1.266,0.257
10.201,0.150,0.000,2.031,1.266,0.257
10.300,0.150,0.000,1.997,1.264,0.259
10.400,0.150,0.000,1.997,1.264,0.259
10.501,0.150,0.000,1.960,1.263,0.244
10.600,0.000,0.500,1.960,1.263,0.244
10.701,0.000,0.500,1.936,1.273,0.269
10.800,0.150,0.000,1.936,1.273,0.269
10.900,0.150,0.000,1.933,1.273,0.263
11.000,0.150,0.000,1.933,1.273,0.263
11.100,0.150,0.000,1.902,1.270,0.262
11.200,0.150,0.000,1.902,1.270,0.262
11.300,0.150,0.000,1.887,1.271,0.260
11.400,0.150,0.000,1.887,1.271,0.260
11.500,0.150,0.000,1.854,1.264,0.268
11.600,0.150,0.000,1.854,1.264,0.268
11.700,0.150,0.000,1.829,1.265,0.275
11.800,0.150,0.000,1.829,1.265,0.275
11.900,0.150,0.000,1.783,1.258,0.282
12.000,0.150,0.000,1.783,1.258,0.282
12.100,0.150,0.000,1.760,1.254,0.276
12.200,0.150,0.000,1.760,1.254,0.276
12.300,0.150,0.000,1.723,1.246,0.284
12.400,0.150,0.000,1.723,1.246,0.284
12.500,0.150,0.000,1.699,1.253,0.279
12.600,0.150,0.000,1.699,1.253,0.279
12.701,0.150,0.000,1.677,1.251,0.284
12.800,0.150,0.000,1.677,1.251,0.284
12.900,0.150,0.000,1.639,1.246,0.293
13.000,0.150,0.000,1.639,1.246,0.293
13.100,0.150,0.000,1.614,1.259,2.526
13.200,0.150,0.000,1.614,1.259,2.526
13.300,0.150,0.000,1.583,1.251,2.527
13.400,0.150,0.000,1.583,1.251,2.527
13.500,0.150,0.000,1.556,1.246,2.540
13.601,0.150,0.000,1.556,1.246,2.540
13.700,0.150,0.000,1.503,1.264,2.525
13.800,0.150,0.000,1.503,1.264,2.525
13.900,0.150,0.000,1.489,1.265,2.532
14.001,0.150,0.000,1.489,1.265,2.532
14.101,0.150,0.000,1.469,1.379,2.540
14.200,0.150,0.000,1.469,1.379,2.540
14.300,0.150,0.000,1.431,2.145,2.539
14.400,0.150,0.000,1.431,2.145,2.539
14.500,0.150,0.000,1.400,2.138,2.565
14.600,0.150,0.000,1.400,2.138,2.565
14.700,0.150,0.000,1.368,2.122,2.554
14.800,0.150,0.000,1.368,2.122,2.554
14.900,0.150,0.000,1.327,2.123,2.560
15.000,0.150,0.000,1.327,2.123,2.560
15.100,0.150,0.000,1.308,2.128,2.556
15.200,0.150,0.000,1.308,2.128,2.556
15.301,0.150,0.000,1.274,2.128,2.560
15.400,0.150,0.000,1.274,2.128,2.560
15.500,0.150,0.000,1.261,2.096,2.559
15.600,0.150,0.000,1.261,2.096,2.559
15.700,0.150,0.000,1.218,2.123,1.534
15.801,0.150,0.000,1.218,2.123,1.534
15.900,0.150,0.000,1.198,2.114,1.464
16.000,0.150,0.000,1.198,2.114,1.464
16.100,0.150,0.000,1.152,2.102,1.477
16.201,0.150,0.000,1.152,2.102,1.477
16.300,0.150,0.000,1.130,2.102,1.461
16.400,0.150,0.000,1.130,2.102,1.461
16.501,0.150,0.000,1.112,2.098,1.460
16.600,0.150,0.000,1.112,2.098,1.460
16.700,0.150,0.000,1.074,2.104,1.444
16.800,0.150,0.000,1.074,2.104,1.444
16.900,0.150,0.000,1.038,2.095,1.472
17.000,0.150,0.000,1.038,2.095,1.472
17.100,0.150,0.000,1.020,2.100,1.465
17.200,0.150,0.000,1.020,2.100,1.465
17.300,0.150,0.000,0.984,2.083,1.468
17.400,0.150,0.000,0.984,2.083,1.468
17.500,0.150,0.000,0.953,2.090,1.461
17.600,0.150,0.000,0.953,2.090,1.461
17.701,0.150,0.000,0.922,2.088,1.451
17.800,0.150,0.000,0.922,2.088,1.451
17.900,0.150,0.000,0.897,2.083,1.474
18.000,0.150,0.000,0.897,2.083,1.474
18.100,0.150,0.000,0.875,2.077,1.469
18.200,0.150,0.000,0.875,2.077,1.469
18.300,0.150,0.000,0.836,0.285,1.480
18.401,0.150,0.000,0.836,0.285,1.480
18.500,0.150,0.000,0.809,0.261,1.478
18.600,0.150,0.000,0.809,0.261,1.478
18.700,0.150,0.000,0.772,0.266,1.467
18.801,0.150,0.000,0.772,0.266,1.467
18.901,0.150,0.000,0.742,0.260,1.482
19.000,0.150,0.000,0.742,0.260,1.482
19.100,0.150,0.000,0.703,0.258,1.499
19.200,0.150,0.000,0.703,0.258,1.499
19.300,0.150,0.000,0.691,0.261,1.490
19.400,0.150,0.000,0.691,0.261,1.490
19.501,0.150,0.000,0.659,0.310,1.505
19.600,0.150,0.000,0.659,0.310,1.505
19.700,0.150,0.000,0.625,0.432,1.502
19.800,0.150,0.000,0.625,0.432,1.502
19.900,0.150,0.000,0.600,0.574,1.497
20.000,0.150,0.000,0.600,0.574,1.497
20.100,0.150,0.000,0.561,0.713,1.520
20.200,0.150,0.000,0.561,0.713,1.520
20.300,0.150,0.000,0.535,0.856,1.504
20.400,0.150,0.000,0.535,0.856,1.504
20.500,0.150,0.000,0.503,0.990,1.505
20.600,0.000,0.500,0.503,0.990,1.505
20.700,0.000,0.500,0.479,1.180,1.523
20.800,0.000,0.500,0.479,1.180,1.523
20.901,0.000,0.500,0.466,1.176,1.509
21.001,0.000,0.500,0.466,1.176,1.509
21.101,0.000,0.500,0.466,0.846,1.534
21.200,0.000,0.500,0.466,0.846,1.534
21.300,0.000,0.500,0.489,0.639,1.220
21.400,0.000,0.500,0.489,0.639,1.220
21.500,0.000,0.500,0.498,0.510,0.995
21.601,0.000,0.500,0.498,0.510,0.995
21.700,0.000,0.500,0.530,0.447,0.832
21.800,0.000,0.500,0.530,0.447,0.832
21.901,0.150,-0.300,0.542,0.402,0.737
22.001,0.150,-0.300,0.542,0.402,0.737
22.100,0.150,-0.300,0.576,0.376,0.645
22.200,0.150,-0.300,0.576,0.376,0.645
22.300,0.150,-0.300,0.588,0.392,0.591
22.400,0.150,-0.300,0.588,0.392,0.591
22.500,0.150,-0.300,0.523,0.413,0.606
22.600,0.000,0.500,0.523,0.413,0.606
22.700,0.000,0.500,0.490,0.462,0.620
22.801,0.000,0.500,0.490,0.462,0.620
22.900,0.000,0.500,0.457,0.532,0.642
23.000,0.000,0.500,0.457,0.532,0.642
23.100,0.000,0.500,0.447,0.524,0.604
23.200,0.000,0.500,0.447,0.524,0.604
23.300,0.000,0.500,0.481,0.464,0.533
23.400,0.000,0.500,0.481,0.464,0.533
23.500,0.000,0.500,0.507,0.437,0.485
23.600,0.000,0.500,0.507,0.437,0.485
23.700,0.000,0.500,0.575,0.422,0.440
23.800,0.000,0.500,0.575,0.422,0.440
23.901,0.150,0.000,0.651,0.419,0.405
24.000,0.150,0.000,0.651,0.419,0.405
24.100,0.150,0.000,0.720,0.448,0.372
24.202,0.150,0.000,0.720,0.448,0.372
24.301,0.150,0.000,0.795,0.497,0.371
24.400,0.150,0.000,0.795,0.497,0.371
24.500,0.150,0.000,0.763,0.427,0.341
24.600,0.150,0.000,0.763,0.427,0.341
24.700,0.150,0.000,0.743,0.430,0.344
24.800,0.150,0.000,0.743,0.430,0.344
24.900,0.150,0.000,0.729,0.426,0.322
25.000,0.150,0.000,0.729,0.426,0.322
25.100,0.150,0.000,0.711,0.430,0.320
25.200,0.150,0.000,0.711,0.430,0.320
25.300,0.150,0.000,0.668,0.446,0.311
25.400,0.000,0.500,0.668,0.446,0.311
25.501,0.000,0.500,0.612,0.456,0.289
25.600,0.000,0.500,0.612,0.456,0.289
25.700,0.000,0.500,0.589,0.476,0.287
25.800,0.000,0.500,0.589,0.476,0.287
25.901,0.000,0.500,0.627,0.473,0.285
26.000,0.000,0.500,0.627,0.473,0.285
26.100,0.000,0.500,0.780,0.452,0.267
26.200,0.000,0.500,0.780,0.452,0.267
26.300,0.000,0.500,1.038,0.447,0.251
26.400,0.000,0.500,1.038,0.447,0.251
26.500,0.000,0.500,1.616,0.467,0.254
