timestamp,linear_speed,angular_speed,distance_front,distance_left,distance_right
0.324,0.000,0.000,0.000,0.000,0.000
0.324,0.000,0.000,0.000,0.000,0.000
0.424,0.150,-0.300,0.000,0.000,0.000
0.525,0.150,-0.300,0.871,1.447,2.342
0.624,0.150,-0.300,0.871,1.447,2.342
0.724,0.150,-0.300,0.842,1.449,2.323
0.825,0.150,-0.300,0.842,1.449,2.323
0.925,0.150,-0.300,0.826,1.468,2.339
1.024,0.150,-0.300,0.826,1.468,2.339
1.124,0.150,-0.300,0.793,1.463,2.358
1.225,0.150,-0.300,0.793,1.463,2.358
1.324,0.150,-0.300,0.768,2.355,2.356
1.424,0.150,-0.300,0.768,2.355,2.356
1.524,0.150,-0.300,0.758,2.386,2.388
1.624,0.150,-0.300,0.758,2.386,2.388
1.724,0.150,-0.300,0.728,2.427,2.397
1.824,0.150,-0.300,0.728,2.427,2.397
1.924,0.150,-0.300,0.703,2.469,2.434
2.025,0.150,-0.300,0.703,2.469,2.434
2.124,0.150,-0.300,0.701,2.538,2.497
2.225,0.150,-0.300,0.701,2.538,2.497
2.324,0.150,-0.300,1.768,2.598,1.660
2.424,0.150,-0.300,1.768,2.598,1.660
2.524,0.150,-0.300,1.782,2.670,1.648
2.624,0.150,-0.300,1.782,2.670,1.648
2.724,0.150,-0.300,1.819,0.875,1.672
2.824,0.150,-0.300,1.819,0.875,1.672
2.924,0.150,-0.300,1.858,0.758,1.678
3.024,0.150,-0.300,1.858,0.758,1.678
3.125,0.150,-0.300,1.911,0.707,1.679
3.224,0.150,-0.300,1.911,0.707,1.679
3.324,0.150,-0.300,1.968,0.633,1.707
3.424,0.150,-0.300,1.968,0.633,1.707
3.524,0.150,-0.300,2.759,0.580,1.781
3.624,0.150,-0.300,2.759,0.580,1.781
3.724,0.150,-0.300,2.624,0.527,1.884
3.824,0.150,-0.300,2.624,0.527,1.884
3.924,0.150,-0.300,2.479,0.482,1.959
4.024,0.150,-0.300,2.479,0.482,1.959
4.124,0.150,-0.300,2.400,0.440,2.090
4.224,0.150,-0.300,2.400,0.440,2.090
4.324,0.150,-0.300,2.305,0.414,2.235
4.424,0.150,-0.300,2.305,0.414,2.235
4.524,0.150,-0.300,2.239,0.387,2.214
4.625,0.150,-0.300,2.239,0.387,2.214
4.724,0.150,-0.300,2.160,0.372,2.185
4.824,0.150,-0.300,2.160,0.372,2.185
4.924,0.150,-0.300,2.091,0.326,2.184
5.024,0.150,-0.300,2.091,0.326,2.184
5.124,0.150,-0.300,2.021,0.327,2.157
5.224,0.150,-0.300,2.021,0.327,2.157
5.324,0.150,-0.300,1.984,0.345,2.153
5.424,0.150,-0.300,1.984,0.345,2.153
5.524,0.150,-0.300,0.959,2.534,2.149
5.624,0.150,-0.300,0.959,2.534,2.149
5.724,0.150,-0.300,0.923,2.518,1.242
5.824,0.150,-0.300,0.923,2.518,1.242
5.924,0.150,-0.300,0.895,1.278,1.242
6.024,0.150,-0.300,0.895,1.278,1.242
6.124,0.150,-0.300,0.866,1.289,1.252
6.224,0.150,-0.300,0.866,1.289,1.252
6.324,0.150,-0.300,0.842,1.279,1.254
6.424,0.150,-0.300,0.842,1.279,1.254
6.524,0.150,-0.300,0.824,1.292,1.257
6.627,0.150,-0.300,0.824,1.292,1.257
6.724,0.150,-0.300,1.796,1.301,1.271
6.825,0.150,-0.300,1.796,1.301,1.271
6.924,0.150,-0.300,1.779,1.336,1.282
7.024,0.150,-0.300,1.779,1.336,1.282
7.125,0.150,-0.300,1.781,1.351,1.294
7.225,0.150,-0.300,1.781,1.351,1.294
7.324,0.150,-0.300,1.786,1.377,1.321
7.424,0.150,-0.300,1.786,1.377,1.321
7.525,0.150,-0.300,1.785,1.440,1.337
7.624,0.150,-0.300,1.785,1.440,1.337
7.725,0.150,-0.300,1.812,1.489,1.357
7.824,0.150,-0.300,1.812,1.489,1.357
7.924,0.150,-0.300,1.837,2.514,1.375
8.024,0.150,-0.300,1.837,2.514,1.375
8.124,0.150,-0.300,1.864,2.298,1.409
8.224,0.150,-0.300,1.864,2.298,1.409
8.324,0.150,-0.300,1.918,2.144,1.457
8.425,0.150,-0.300,1.918,2.144,1.457
8.524,0.150,-0.300,1.992,1.985,1.476
8.625,0.150,-0.300,1.992,1.985,1.476
8.724,0.150,-0.300,2.063,1.872,1.558
8.825,0.150,-0.300,2.063,1.872,1.558
8.925,0.150,-0.300,1.903,1.756,1.610
9.024,0.150,-0.300,1.903,1.756,1.610
9.124,0.150,-0.300,1.859,1.672,1.706
9.224,0.150,-0.300,1.859,1.672,1.706
9.325,0.150,-0.300,1.202,1.598,1.811
9.424,0.150,-0.300,1.202,1.598,1.811
9.524,0.150,-0.300,1.139,0.464,2.608
9.624,0.150,-0.300,1.139,0.464,2.608
9.724,0.150,-0.300,1.104,0.434,2.571
9.824,0.150,-0.300,1.104,0.434,2.571
9.924,0.150,-0.300,1.086,0.428,2.524
10.024,0.150,-0.300,1.086,0.428,2.524
10.125,0.150,-0.300,1.073,0.461,2.506
10.224,0.150,-0.300,1.073,0.461,2.506
10.324,0.150,-0.300,1.219,0.634,2.492
10.424,0.150,-0.300,1.219,0.634,2.492
10.524,0.150,-0.300,1.430,0.851,2.481
10.624,0.150,-0.300,1.430,0.851,2.481
10.724,0.150,-0.300,1.781,1.205,2.473
