timestamp,linear_speed,angular_speed,distance_front,distance_left,distance_right
0.211,0.150,-0.300,0.000,0.000,0.000
0.212,0.150,-0.300,0.000,0.000,0.000
0.300,0.150,-0.300,0.000,0.000,0.000
0.400,0.150,-0.300,0.882,1.462,2.336
0.500,0.150,-0.300,0.882,1.462,2.336
0.601,0.150,-0.300,0.857,1.451,2.323
0.700,0.150,-0.300,0.857,1.451,2.323
0.800,0.150,-0.300,0.832,1.463,2.346
0.900,0.150,-0.300,0.832,1.463,2.346
1.000,0.150,-0.300,0.810,1.464,2.345
1.101,0.150,-0.300,0.810,1.464,2.345
1.200,0.150,-0.300,0.790,2.353,2.367
1.300,0.150,-0.300,0.790,2.353,2.367
1.400,0.150,-0.300,0.751,2.367,2.383
1.500,0.150,-0.300,0.751,2.367,2.383
1.600,0.150,-0.300,0.732,2.399,2.397
1.701,0.150,-0.300,0.732,2.399,2.397
1.800,0.150,-0.300,0.721,2.449,2.428
1.900,0.150,-0.300,0.721,2.449,2.428
2.000,0.150,-0.300,0.696,2.511,2.458
2.100,0.150,-0.300,0.696,2.511,2.458
2.201,0.150,-0.300,1.766,2.570,1.712
2.300,0.150,-0.300,1.766,2.570,1.712
2.401,0.150,-0.300,1.773,2.672,1.652
2.500,0.150,-0.300,1.773,2.672,1.652
2.601,0.150,-0.300,1.812,0.918,1.661
2.700,0.150,-0.300,1.812,0.918,1.661
2.800,0.150,-0.300,1.848,0.814,1.678
2.900,0.150,-0.300,1.848,0.814,1.678
3.000,0.150,-0.300,1.893,0.745,1.689
3.100,0.150,-0.300,1.893,0.745,1.689
3.201,0.150,-0.300,1.957,0.649,1.702
3.300,0.150,-0.300,1.957,0.649,1.702
3.400,0.150,-0.300,2.794,0.585,1.752
3.500,0.150,-0.300,2.794,0.585,1.752
3.600,0.150,-0.300,2.682,0.539,1.835
3.700,0.150,-0.300,2.682,0.539,1.835
3.800,0.150,-0.300,2.536,0.487,1.919
3.900,0.150,-0.300,2.536,0.487,1.919
4.000,0.150,-0.300,2.422,0.457,2.021
4.100,0.150,-0.300,2.422,0.457,2.021
4.200,0.150,-0.300,2.337,0.424,2.173
4.300,0.150,-0.300,2.337,0.424,2.173
4.400,0.150,-0.300,2.256,0.399,2.221
4.500,0.150,-0.300,2.256,0.399,2.221
4.600,0.150,-0.300,2.182,0.368,2.206
4.700,0.150,-0.300,2.182,0.368,2.206
4.801,0.150,-0.300,2.115,0.349,2.175
4.900,0.150,-0.300,2.115,0.349,2.175
5.000,0.150,-0.300,2.054,0.324,2.172
5.100,0.150,-0.300,2.054,0.324,2.172
5.200,0.150,-0.300,2.009,0.317,2.150
5.300,0.150,-0.300,2.009,0.317,2.150
5.400,0.150,-0.300,1.965,0.442,2.152
5.500,0.150,-0.300,1.965,0.442,2.152
5.600,0.150,-0.300,0.943,2.513,1.243
5.700,0.150,-0.300,0.943,2.513,1.243
5.801,0.150,-0.300,0.912,1.288,1.250
5.900,0.150,-0.300,0.912,1.288,1.250
6.000,0.150,-0.300,0.883,1.295,1.239
6.100,0.150,-0.300,0.883,1.295,1.239
6.200,0.150,-0.300,0.835,1.289,1.262
6.300,0.150,-0.300,0.835,1.289,1.262
6.400,0.150,-0.300,0.823,1.265,1.256
6.500,0.150,-0.300,0.823,1.265,1.256
6.600,0.150,-0.300,0.803,1.310,1.263
6.700,0.150,-0.300,0.803,1.310,1.263
6.801,0.150,-0.300,1.789,1.330,1.264
6.900,0.150,-0.300,1.789,1.330,1.264
7.000,0.150,-0.300,1.776,1.342,1.284
7.100,0.150,-0.300,1.776,1.342,1.284
7.201,0.150,-0.300,1.785,1.383,1.312
7.301,0.150,-0.300,1.785,1.383,1.312
7.400,0.150,-0.300,1.789,1.416,1.303
7.500,0.150,-0.300,1.789,1.416,1.303
7.600,0.150,-0.300,1.807,1.478,1.356
7.700,0.150,-0.300,1.807,1.478,1.356
7.800,0.150,-0.300,1.822,1.522,1.357
7.900,0.150,-0.300,1.822,1.522,1.357
8.001,0.150,-0.300,1.868,2.366,1.405
8.100,0.150,-0.300,1.868,2.366,1.405
8.200,0.150,-0.300,1.900,2.187,1.458
8.300,0.150,-0.300,1.900,2.187,1.458
8.400,0.150,-0.300,1.967,2.026,1.476
8.500,0.150,-0.300,1.967,2.026,1.476
8.600,0.150,-0.300,2.042,1.911,1.541
8.703,0.150,-0.300,2.042,1.911,1.541
8.800,0.150,-0.300,1.912,1.796,1.581
8.900,0.150,-0.300,1.912,1.796,1.581
9.000,0.150,-0.300,1.879,1.711,1.675
9.100,0.150,-0.300,1.879,1.711,1.675
9.200,0.150,-0.300,1.222,1.627,1.766
9.300,0.150,-0.300,1.222,1.627,1.766
9.401,0.150,-0.300,1.152,0.463,2.604
9.500,0.150,-0.300,1.152,0.463,2.604
9.600,0.150,-0.300,1.123,0.447,2.574
9.701,0.150,-0.300,1.123,0.447,2.574
9.800,0.150,-0.300,1.086,0.429,2.531
9.900,0.150,-0.300,1.086,0.429,2.531
10.000,0.150,-0.300,1.077,0.420,2.533
10.100,0.150,-0.300,1.077,0.420,2.533
10.200,0.150,-0.300,1.169,0.562,2.487
10.300,0.150,-0.300,1.169,0.562,2.487
10.400,0.150,-0.300,1.359,0.767,2.480
10.500,0.150,-0.300,1.359,0.767,2.480
10.600,0.150,-0.300,1.644,1.058,2.485
10.700,0.150,-0.300,1.644,1.058,2.485
10.800,0.150,-0.300,1.765,1.326,2.479
10.901,0.150,-0.300,1.765,1.326,2.479
11.001,0.150,-0.300,1.718,1.317,2.492
11.100,0.150,-0.300,1.718,1.317,2.492
11.200,0.150,-0.300,1.702,1.307,2.491
11.300,0.150,-0.300,1.702,1.307,2.491
11.400,0.150,-0.300,1.669,1.308,2.497
11.500,0.150,-0.300,1.669,1.308,2.497
11.600,0.150,-0.300,1.643,1.309,3.372
11.700,0.150,-0.300,1.643,1.309,3.372
11.800,0.150,-0.300,1.611,1.329,3.402
11.900,0.150,-0.300,1.611,1.329,3.402
12.000,0.150,-0.300,1.616,1.363,3.435
12.100,0.150,-0.300,1.616,1.363,3.435
12.200,0.150,-0.300,1.604,1.375,3.480
12.301,0.150,-0.300,1.604,1.375,3.480
12.400,0.150,-0.300,1.580,1.393,3.500
12.501,0.150,-0.300,1.580,1.393,3.500
12.601,0.150,-0.300,1.599,1.436,1.906
12.700,0.150,-0.300,1.599,1.436,1.906
12.800,0.150,-0.300,1.594,1.482,1.796
12.900,0.150,-0.300,1.594,1.482,1.796
13.001,0.150,-0.300,1.615,1.538,1.708
13.101,0.150,-0.300,1.615,1.538,1.708
13.200,0.150,-0.300,1.645,1.610,1.620
13.300,0.150,-0.300,1.645,1.610,1.620
13.401,0.150,-0.300,0.781,0.666,1.538
13.500,0.150,-0.300,0.781,0.666,1.538
13.600,0.150,-0.300,0.711,0.637,1.483
13.700,0.150,-0.300,0.711,0.637,1.483
13.800,0.150,-0.300,0.651,0.644,1.470
13.900,0.150,-0.300,0.651,0.644,1.470
14.000,0.150,-0.300,0.620,0.700,1.402
14.100,0.150,-0.300,0.620,0.700,1.402
14.200,0.150,-0.300,0.588,0.774,1.398
14.300,0.150,-0.300,0.588,0.774,1.398
14.400,0.150,-0.300,0.565,0.853,1.370
14.500,0.150,-0.300,0.565,0.853,1.370
14.600,0.150,-0.300,0.563,0.971,1.347
14.700,0.150,-0.300,0.563,0.971,1.347
14.800,0.150,-0.300,0.582,1.125,1.356
14.900,0.000,0.500,0.582,1.125,1.356
