timestamp,linear_speed,angular_speed,distance_front,distance_left,distance_right
0.225,0.000,0.000,0.000,0.000,0.000
0.226,0.000,0.000,0.000,0.000,0.000
0.300,0.150,-0.300,0.000,0.000,0.000
0.401,0.150,-0.300,3.500,1.737,0.882
0.501,0.150,-0.300,3.500,1.737,0.882
0.600,0.150,-0.300,3.500,1.849,0.871
0.700,0.150,-0.300,3.500,1.849,0.871
0.800,0.150,-0.300,3.071,2.093,0.858
0.900,0.150,-0.300,3.071,2.093,0.858
1.000,0.150,-0.300,2.971,2.402,0.815
1.100,0.150,-0.300,2.971,2.402,0.815
1.200,0.150,-0.300,1.895,2.513,0.819
1.300,0.150,-0.300,1.895,2.513,0.819
1.400,0.150,-0.300,1.844,2.538,0.821
1.500,0.150,-0.300,1.844,2.538,0.821
1.601,0.150,-0.300,1.823,1.663,0.800
1.700,0.150,-0.300,1.823,1.663,0.800
1.801,0.150,-0.300,1.796,1.623,0.792
1.900,0.150,-0.300,1.796,1.623,0.792
2.000,0.150,-0.300,0.877,1.617,0.792
2.100,0.150,-0.300,0.877,1.617,0.792
2.200,0.150,-0.300,0.770,1.629,0.793
2.300,0.150,-0.300,0.770,1.629,0.793
2.400,0.150,-0.300,0.720,3.455,0.785
2.501,0.150,-0.300,0.720,3.455,0.785
2.600,0.150,-0.300,0.674,0.764,0.793
2.700,0.150,-0.300,0.674,0.764,0.793
2.800,0.150,-0.300,0.652,0.688,0.783
2.900,0.150,-0.300,0.652,0.688,0.783
3.000,0.150,-0.300,0.613,0.680,0.800
3.100,0.150,-0.300,0.613,0.680,0.800
3.200,0.150,-0.300,0.588,0.669,0.796
3.300,0.150,-0.300,0.588,0.669,0.796
3.400,0.150,-0.300,0.568,0.699,0.803
3.500,0.150,-0.300,0.568,0.699,0.803
3.600,0.150,-0.300,0.561,0.748,0.798
3.700,0.150,-0.300,0.561,0.748,0.798
3.800,0.000,0.500,0.551,3.071,0.803
3.900,0.000,0.500,0.551,3.071,0.803
4.001,0.000,0.500,2.041,1.547,0.809
4.100,0.000,0.500,2.041,1.547,0.809
4.200,0.000,0.500,1.976,1.549,0.809
4.300,0.000,0.500,1.976,1.549,0.809
4.400,0.000,0.500,1.961,1.558,0.818
4.500,0.000,0.500,1.961,1.558,0.818
4.600,0.000,0.500,0.536,1.602,0.799
4.700,0.000,0.500,0.536,1.602,0.799
4.800,0.000,0.500,0.465,3.077,0.805
4.901,0.000,0.500,0.465,3.077,0.805
5.001,0.000,0.500,0.447,0.803,0.804
5.100,0.000,0.500,0.447,0.803,0.804
5.200,0.000,0.500,0.446,0.732,0.831
5.300,0.000,0.500,0.446,0.732,0.831
5.400,0.000,0.500,0.442,0.726,0.837
5.501,0.000,0.500,0.442,0.726,0.837
5.600,0.000,0.500,0.449,0.745,0.867
5.700,0.000,0.500,0.449,0.745,0.867
5.801,0.000,0.500,0.468,0.776,0.916
5.900,0.000,0.500,0.468,0.776,0.916
6.000,0.000,0.500,0.517,1.752,0.972
6.101,0.000,0.500,0.517,1.752,0.972
6.200,0.000,0.500,1.465,1.783,1.042
6.300,0.000,0.500,1.465,1.783,1.042
6.400,0.000,0.500,1.487,1.852,1.143
6.500,0.150,-0.300,1.487,1.852,1.143
6.600,0.150,-0.300,2.581,2.755,1.208
6.700,0.150,-0.300,2.581,2.755,1.208
6.800,0.150,-0.300,1.480,2.771,1.220
6.901,0.150,-0.300,1.480,2.771,1.220
7.001,0.000,0.500,1.442,1.778,1.164
7.100,0.000,0.500,1.442,1.778,1.164
7.200,0.000,0.500,1.388,1.772,1.175
