timestamp,linear_speed,angular_speed,distance_front,distance_left,distance_right
0.284,0.000,0.000,0.000,0.000,0.000
0.284,0.000,0.000,0.000,0.000,0.000
0.300,0.150,-0.300,0.000,0.000,0.000
0.400,0.150,-0.300,0.000,0.000,0.000
0.501,0.150,-0.300,0.000,0.000,0.000
0.600,0.150,-0.300,3.500,1.771,0.860
0.700,0.150,-0.300,3.500,1.771,0.860
0.801,0.150,-0.300,3.500,1.806,0.892
0.900,0.150,-0.300,3.500,1.806,0.892
1.000,0.150,-0.300,3.500,1.994,0.871
1.100,0.150,-0.300,3.500,1.994,0.871
1.200,0.150,-0.300,2.986,2.297,0.838
1.300,0.150,-0.300,2.986,2.297,0.838
1.400,0.150,-0.300,1.916,2.497,0.823
1.500,0.150,-0.300,1.916,2.497,0.823
1.600,0.150,-0.300,1.861,2.527,0.816
1.700,0.150,-0.300,1.861,2.527,0.816
1.800,0.150,-0.300,1.829,1.709,0.801
1.900,0.150,-0.300,1.829,1.709,0.801
2.000,0.150,-0.300,1.790,1.634,0.800
2.100,0.150,-0.300,1.790,1.634,0.800
2.200,0.150,-0.300,1.781,1.616,0.801
2.300,0.150,-0.300,1.781,1.616,0.801
2.400,0.150,-0.300,0.790,1.605,0.790
2.500,0.150,-0.300,0.790,1.605,0.790
2.600,0.150,-0.300,0.738,1.691,0.780
2.700,0.150,-0.300,0.738,1.691,0.780
2.800,0.150,-0.300,0.694,0.815,0.786
2.900,0.150,-0.300,0.694,0.815,0.786
3.000,0.150,-0.300,0.650,0.691,0.790
3.100,0.150,-0.300,0.650,0.691,0.790
3.200,0.150,-0.300,0.626,0.682,0.798
3.300,0.150,-0.300,0.626,0.682,0.798
3.400,0.150,-0.300,0.603,0.664,0.785
3.500,0.150,-0.300,0.603,0.664,0.785
3.600,0.150,-0.300,0.580,0.678,0.779
3.701,0.150,-0.300,0.580,0.678,0.779
3.800,0.150,-0.300,0.549,0.720,0.805
3.900,0.150,-0.300,0.549,0.720,0.805
4.000,0.150,-0.300,0.560,3.078,0.799
4.100,0.150,-0.300,0.560,3.078,0.799
4.200,0.150,-0.300,0.594,1.604,0.794
4.300,0.000,0.500,0.594,1.604,0.794
4.401,0.000,0.500,1.994,1.567,0.810
4.501,0.000,0.500,1.994,1.567,0.810
4.600,0.000,0.500,2.018,1.587,0.811
4.701,0.000,0.500,2.018,1.587,0.811
4.800,0.000,0.500,0.492,3.072,0.809
4.900,0.000,0.500,0.492,3.072,0.809
5.000,0.000,0.500,0.449,2.352,0.805
5.100,0.000,0.500,0.449,2.352,0.805
5.200,0.000,0.500,0.445,0.737,0.818
5.300,0.000,0.500,0.445,0.737,0.818
5.400,0.000,0.500,0.447,0.730,0.835
5.500,0.000,0.500,0.447,0.730,0.835
5.600,0.000,0.500,0.439,0.735,0.854
5.700,0.000,0.500,0.439,0.735,0.854
5.800,0.000,0.500,0.462,0.754,0.902
5.900,0.000,0.500,0.462,0.754,0.902
6.000,0.000,0.500,0.484,0.805,0.911
6.100,0.000,0.500,0.484,0.805,0.911
6.200,0.000,0.500,1.474,1.739,1.004
6.300,0.000,0.500,1.474,1.739,1.004
6.400,0.000,0.500,1.484,1.783,1.102
6.500,0.000,0.500,1.484,1.783,1.102
6.600,0.000,0.500,1.522,2.769,1.217
6.700,0.150,-0.300,1.522,2.769,1.217
6.800,0.150,-0.300,3.500,2.621,1.203
6.900,0.150,-0.300,3.500,2.621,1.203
7.001,0.150,-0.300,3.500,2.601,1.215
7.100,0.150,-0.300,3.500,2.601,1.215
7.201,0.150,-0.300,2.600,2.736,1.217
7.300,0.150,-0.300,2.600,2.736,1.217
7.400,0.150,-0.300,1.448,2.753,1.211
7.500,0.150,-0.300,1.448,2.753,1.211
7.600,0.150,-0.300,1.388,1.768,1.222
7.700,0.150,-0.300,1.388,1.768,1.222
7.800,0.150,-0.300,1.350,1.752,1.219
7.900,0.000,0.500,1.350,1.752,1.219
8.000,0.000,0.500,1.323,0.730,1.194
8.100,0.000,0.500,1.323,0.730,1.194
8.200,0.000,0.500,1.299,0.717,1.203
8.300,0.000,0.500,1.299,0.717,1.203
8.400,0.000,0.500,1.317,0.754,1.224
8.500,0.000,0.500,1.317,0.754,1.224
8.600,0.000,0.500,1.378,1.783,1.203
8.700,0.000,0.500,1.378,1.783,1.203
8.800,0.000,0.500,3.500,2.792,1.193
8.900,0.000,0.500,3.500,2.792,1.193
9.000,0.000,0.500,3.500,2.477,1.244
9.100,0.000,0.500,3.500,2.477,1.244
9.200,0.000,0.500,2.515,2.283,1.533
9.300,0.000,0.500,2.515,2.283,1.533
9.400,0.000,0.500,2.505,2.098,1.768
9.500,0.000,0.500,2.505,2.098,1.768
9.600,0.000,0.500,1.494,1.970,0.377
9.700,0.000,0.500,1.494,1.970,0.377
9.800,0.000,0.500,1.488,1.885,0.312
9.900,0.000,0.500,1.488,1.885,0.312
10.000,0.000,0.500,1.509,1.811,0.286
10.100,0.150,0.000,1.509,1.811,0.286
10.200,0.150,0.000,3.018,1.760,0.254
10.300,0.150,0.000,3.018,1.760,0.254
10.400,0.150,0.000,3.002,1.784,0.254
10.500,0.150,0.000,3.002,1.784,0.254
10.600,0.150,0.000,2.970,1.794,0.254
10.700,0.150,0.000,2.970,1.794,0.254
10.800,0.150,0.000,2.941,1.807,0.247
10.900,0.150,0.000,2.941,1.807,0.247
11.000,0.150,0.000,2.914,1.809,0.253
11.100,0.150,0.000,2.914,1.809,0.253
11.201,0.150,0.000,2.886,1.817,0.266
11.300,0.150,0.000,2.886,1.817,0.266
11.400,0.150,0.000,2.841,1.823,0.286
11.500,0.150,0.000,2.841,1.823,0.286
11.600,0.150,0.000,2.821,1.828,0.324
11.700,0.150,0.000,2.821,1.828,0.324
11.800,0.150,0.000,2.814,1.856,0.370
11.900,0.150,0.000,2.814,1.856,0.370
12.000,0.150,0.000,2.764,1.844,2.364
12.101,0.150,0.000,2.764,1.844,2.364
12.200,0.150,0.000,2.733,1.850,2.383
12.300,0.150,0.000,2.733,1.850,2.383
12.400,0.150,0.000,2.692,1.876,2.398
12.500,0.150,-0.300,2.692,1.876,2.398
12.600,0.150,-0.300,2.662,1.896,2.406
12.700,0.150,-0.300,2.662,1.896,2.406
12.800,0.150,-0.300,2.640,1.933,2.328
12.900,0.150,-0.300,2.640,1.933,2.328
13.000,0.150,-0.300,1.129,1.986,2.279
13.100,0.150,-0.300,1.129,1.986,2.279
